State,County,Percent With Access to Exercise,Percent Excessive Drinking,Percent of Adult Smokers
Texas,,80,19,14
Texas,Anderson,29,19,18
Texas,Andrews,94,21,13
Texas,Angelina,65,18,18
Texas,Aransas,81,16,16
Texas,Archer,23,20,14
Texas,Armstrong,3,20,13
Texas,Atascosa,39,18,14
Texas,Austin,62,18,14
Texas,Bailey,84,16,18
Texas,Bandera,62,17,14
Texas,Bastrop,46,20,17
Texas,Baylor,86,17,15
Texas,Bee,51,20,17
Texas,Bell,80,20,17
Texas,Bexar,87,19,14
Texas,Blanco,48,18,14
Texas,Borden,0,21,11
Texas,Bosque,41,17,15
Texas,Bowie,42,17,18
Texas,Brazoria,80,19,14
Texas,Brazos,89,20,15
Texas,Brewster,56,17,15
Texas,Briscoe,71,16,16
Texas,Brooks,52,13,19
Texas,Brown,65,18,18
Texas,Burleson,41,18,14
Texas,Burnet,62,18,14
Texas,Caldwell,59,18,16
Texas,Calhoun,51,17,15
Texas,Callahan,10,18,16
Texas,Cameron,60,15,17
Texas,Camp,60,17,17
Texas,Carson,76,21,13
Texas,Cass,36,17,16
Texas,Castro,50,16,16
Texas,Chambers,67,21,15
Texas,Cherokee,44,16,18
Texas,Childress,74,20,17
Texas,Clay,19,19,15
Texas,Cochran,48,16,17
Texas,Coke,72,16,15
Texas,Coleman,66,17,16
Texas,Collin,90,19,12
Texas,Collingsworth,69,16,17
Texas,Colorado,61,17,15
Texas,Comal,86,19,13
Texas,Comanche,15,17,16
Texas,Concho,70,20,15
Texas,Cooke,55,19,15
Texas,Coryell,64,21,17
Texas,Cottle,84,15,16
Texas,Crane,92,20,13
Texas,Crockett,18,17,14
Texas,Crosby,32,16,16
Texas,Culberson,93,14,18
Texas,Dallam,92,20,16
Texas,Dallas,96,17,15
Texas,Dawson,68,18,16
Texas,Deaf Smith,81,18,15
Texas,Delta,69,17,17
Texas,Denton,94,21,14
Texas,DeWitt,62,17,15
Texas,Dickens,37,17,16
Texas,Dimmit,68,15,16
Texas,Donley,64,18,15
Texas,Duval,58,15,17
Texas,Eastland,38,18,16
Texas,Ector,72,20,15
Texas,Edwards,4,16,13
Texas,Ellis,65,18,13
Texas,El Paso,81,18,15
Texas,Erath,62,21,17
Texas,Falls,45,16,18
Texas,Fannin,39,19,16
Texas,Fayette,57,17,13
Texas,Fisher,1,17,14
Texas,Floyd,83,15,17
Texas,Foard,41,17,13
Texas,Fort Bend,92,18,12
Texas,Franklin,8,17,16
Texas,Freestone,27,18,16
Texas,Frio,17,18,17
Texas,Gaines,36,21,16
Texas,Galveston,87,19,15
Texas,Garza,13,22,16
Texas,Gillespie,73,16,13
Texas,Glasscock,0,21,14
Texas,Goliad,58,17,14
Texas,Gonzales,39,17,15
Texas,Gray,92,19,17
Texas,Grayson,72,18,16
Texas,Gregg,81,19,16
Texas,Grimes,40,18,17
Texas,Guadalupe,72,21,14
Texas,Hale,74,17,17
Texas,Hall,43,14,19
Texas,Hamilton,46,17,14
Texas,Hansford,88,17,16
Texas,Hardeman,34,17,17
Texas,Hardin,67,20,15
Texas,Harris,90,18,13
Texas,Harrison,61,19,16
Texas,Hartley,74,22,13
Texas,Haskell,60,18,16
Texas,Hays,73,22,15
Texas,Hemphill,82,19,15
Texas,Henderson,63,17,17
Texas,Hidalgo,53,14,15
Texas,Hill,51,18,17
Texas,Hockley,64,18,15
Texas,Hood,73,19,14
Texas,Hopkins,40,18,17
Texas,Houston,58,16,18
Texas,Howard,82,20,16
Texas,Hudspeth,0,15,20
Texas,Hunt,66,19,16
Texas,Hutchinson,84,19,16
Texas,Irion,80,19,13
Texas,Jack,60,20,17
Texas,Jackson,50,18,14
Texas,Jasper,53,19,17
Texas,Jeff Davis,48,14,15
Texas,Jefferson,61,17,17
Texas,Jim Hogg,90,15,16
Texas,Jim Wells,47,16,15
Texas,Johnson,59,20,16
Texas,Jones,44,21,17
Texas,Karnes,77,19,17
Texas,Kaufman,57,20,16
Texas,Kendall,81,20,12
Texas,Kenedy,0,15,15
Texas,Kent,43,17,13
Texas,Kerr,72,16,14
Texas,Kimble,61,16,14
Texas,King,56,19,15
Texas,Kinney,70,15,16
Texas,Kleberg,50,18,16
Texas,Knox,39,17,15
Texas,Lamar,64,16,18
Texas,Lamb,66,15,18
Texas,Lampasas,45,18,15
Texas,La Salle,0,18,16
Texas,Lavaca,61,18,14
Texas,Lee,49,19,15
Texas,Leon,19,16,16
Texas,Liberty,46,19,17
Texas,Limestone,61,17,18
Texas,Lipscomb,16,20,14
Texas,Live Oak,34,18,15
Texas,Llano,77,16,14
Texas,Loving,0,19,19
Texas,Lubbock,89,19,16
Texas,Lynn,23,17,17
Texas,McCulloch,54,16,16
Texas,McLennan,63,18,16
Texas,McMullen,26,17,13
Texas,Madison,0,20,17
Texas,Marion,29,16,17
Texas,Martin,38,19,15
Texas,Mason,70,16,13
Texas,Matagorda,64,17,17
Texas,Maverick,74,15,17
Texas,Medina,56,18,14
Texas,Menard,77,15,13
Texas,Midland,70,21,14
Texas,Milam,60,17,16
Texas,Mills,24,16,14
Texas,Mitchell,2,21,14
Texas,Montague,44,18,16
Texas,Montgomery,84,21,14
Texas,Moore,77,17,17
Texas,Morris,38,17,16
Texas,Motley,25,16,15
Texas,Nacogdoches,68,17,17
Texas,Navarro,56,17,17
Texas,Newton,11,18,17
Texas,Nolan,66,18,16
Texas,Nueces,96,19,14
Texas,Ochiltree,88,20,15
Texas,Oldham,24,19,16
Texas,Orange,61,21,18
Texas,Palo Pinto,47,18,17
Texas,Panola,39,18,16
Texas,Parker,55,21,14
Texas,Parmer,74,18,16
Texas,Pecos,61,20,14
Texas,Polk,41,17,17
Texas,Potter,77,18,18
Texas,Presidio,82,13,16
Texas,Rains,21,19,14
Texas,Randall,89,21,14
Texas,Reagan,93,18,16
Texas,Real,78,15,15
Texas,Red River,36,16,16
Texas,Reeves,72,19,16
Texas,Refugio,39,17,14
Texas,Roberts,69,21,13
Texas,Robertson,48,18,16
Texas,Rockwall,84,21,13
Texas,Runnels,47,17,15
Texas,Rusk,38,17,17
Texas,Sabine,85,15,17
Texas,San Augustine,50,14,20
Texas,San Jacinto,74,17,17
Texas,San Patricio,48,18,15
Texas,San Saba,47,17,16
Texas,Schleicher,77,19,13
Texas,Scurry,35,20,15
Texas,Shackelford,80,18,15
Texas,Shelby,40,16,19
Texas,Sherman,38,19,14
Texas,Smith,72,18,16
Texas,Somervell,71,18,16
Texas,Starr,31,14,20
Texas,Stephens,59,19,17
Texas,Sterling,55,17,17
Texas,Stonewall,53,16,15
Texas,Sutton,83,19,12
Texas,Swisher,54,17,17
Texas,Tarrant,93,18,15
Texas,Taylor,86,19,18
Texas,Terrell,0,15,15
Texas,Terry,75,18,17
Texas,Throckmorton,57,18,14
Texas,Titus,63,17,17
Texas,Tom Green,76,19,15
Texas,Travis,92,23,13
Texas,Trinity,84,16,17
Texas,Tyler,52,19,16
Texas,Upshur,26,19,16
Texas,Upton,66,18,16
Texas,Uvalde,56,16,16
Texas,Val Verde,82,17,16
Texas,Van Zandt,40,18,15
Texas,Victoria,81,19,15
Texas,Walker,78,20,17
Texas,Waller,24,20,18
Texas,Ward,86,18,15
Texas,Washington,63,18,14
Texas,Webb,86,16,18
Texas,Wharton,70,17,16
Texas,Wheeler,63,18,15
Texas,Wichita,70,18,20
Texas,Wilbarger,28,18,17
Texas,Willacy,34,15,20
Texas,Williamson,89,22,13
Texas,Wilson,32,19,13
Texas,Winkler,98,19,16
Texas,Wise,39,20,15
Texas,Wood,44,18,15
Texas,Yoakum,67,19,14
Texas,Young,70,18,15
Texas,Zapata,45,15,18
Texas,Zavala,59,14,20
