County,Positive,Fatalities,Cumulative_Total_Test,Population,Metro_vs_Non_Metro,NCHS_Urban_Rural_Classification 
Anderson,8,0,78,58954,Non-Metro,Micropolitan
Andrews,19,0,1,14771,Non-Metro,Micropolitan
Angelina,23,0,154,87755,Non-Metro,Micropolitan
Aransas,2,0,15,30013,Metro,Medium Metro
Armstrong,1,0,6,2336,Metro,Medium Metro
Atascosa,12,1,80,49359,Metro,Large Fringe Metro
Austin,12,0,125,31488,Metro,Large Fringe Metro
Bandera,4,0,34,22987,Metro,Large Fringe Metro
Bastrop,44,1,215,96023,Metro,Large Fringe Metro
Bee,5,0,84,3980,Non-Metro,Micropolitan
Bell,126,3,560,34680,Metro,Medium Metro
Bexar,1015,39,"7,892",316793,Metro,Large Central Metro
Blanco,4,0,103,1755755,Non-Metro,Non-core
Bosque,1,0,60,11421,Non-Metro,Non-core
Bowie,57,1,649,94132,Metro,Small Metro
Brazoria,315,3,670,365121,Metro,Large Fringe Metro
Brazos,170,16,"1,288",187217,Metro,Small Metro
Brown,13,1,21,40648,Non-Metro,Micropolitan
Burleson,8,0,14,40648,Metro,Small Metro
Burnet,9,0,31,19772,Non-Metro,Non-core
Caldwell,8,0,43,55375,Metro,Large Fringe Metro
Calhoun,21,1,132,42280,Non-Metro,Micropolitan
Callahan,1,0,30,24259,Metro,Small Metro
Cameron,298,6,"2,091",15276,Metro,Medium Metro
Camp,6,0,42,456635,Non-Metro,Non-core
Carson,1,0,5,14474,Metro,Medium Metro
Cass,11,0,36,6844,Non-Metro,Non-core
Castro,11,1,4,30417,Non-Metro,Non-core
Chambers,35,0,98,6948,Metro,Large Fringe Metro
Cherokee,8,1,184,41178,Non-Metro,Micropolitan
Childress,1,0,8,51717,Non-Metro,Non-core
Clay,3,0,8,8001,Metro,Small Metro
Collin,527,13,"3,464",11206,Metro,Large Central Metro
Colorado,8,0,90,1066655,Non-Metro,Non-core
Comal,43,6,468,147869,Metro,Large Fringe Metro
Comanche,3,0,13,14409,Non-Metro,Non-core
Concho,1,0,5,3733,Non-Metro,Non-core
Cooke,3,0,112,43027,Non-Metro,Micropolitan
Coryell,75,1,207,83238,Metro,Medium Metro
Crane,2,0,15,4412,Non-Metro,Non-core
Crosby,1,1,0,6233,Metro,Medium Metro
Dallam,2,0,0,6936,Non-Metro,Non-core
Dallas,2428,60,"13,130",2558560,Metro,Large Central Metro
Dawson,13,1,30,14535,Non-Metro,Micropolitan
Deaf Smith,12,0,4,21264,Non-Metro,Micropolitan
Delta,1,0,3,5268,Non-Metro,Non-core
Denton,593,16,"4,197",873899,Metro,Large Fringe Metro
DeWitt,13,0,65,20801,Non-Metro,Non-core
Dickens,1,0,0,2780,Non-Metro,Non-core
Dimmit,1,0,11,9431,Non-Metro,Non-core
Donley,23,0,10,3880,Non-Metro,Non-core
Duval,1,0,4,11386,Non-Metro,Non-core
Eastland,3,0,46,18891,Non-Metro,Non-core
Ector,58,4,459,139010,Metro,Small Metro
El Paso,531,8,"2,523",816573,Metro,Medium Metro
